Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.4328,0.3816,0.4656,0.4104
Discus,0.5176,0.4384,0.4748,0.7364
Ellipsoid,0.4036,0.3124,0.4424,0.5196
Katsuura,0.5152,0.4868,0.4188,0.4168
Rastrigin,0.5464,0.6508,0.5988,0.7356
Rosenbrock,0.3808,0.33,0.3128,0.4416
Schaffers,0.3744,0.3532,0.4336,0.4608
Schwefel,0.3972,0.2984,0.4,0.5728
Sphere,0.284,0.1996,0.4192,0.3876
Weierstrass,0.5612,0.76,0.6096,0.7476
AttractiveSector_5D,0.5068,0.408,0.418,0.2436
AttractiveSector_10D,0.3832,0.4952,0.5712,0.7596
AttractiveSector_20D,0.2544,0.3096,0.9352,0.762
BuecheRastrigin_5D,0.3484,0.3256,0.4112,0.0788
BuecheRastrigin_10D,0.3768,0.3628,0.7808,0.6728
BuecheRastrigin_20D,0.314,0.2924,0.3624,0.1764
CompositeGR_5D,0.3572,0.528,0.3844,0.5048
CompositeGR_10D,0.2512,0.37,0.2224,0.3816
CompositeGR_20D,0.2708,0.41,0.5712,0.712
DifferentPowers_5D,0.254,0.5204,0.6244,0.6444
DifferentPowers_10D,0.3756,0.2824,0.5168,0.1096
DifferentPowers_20D,0.4436,0.4488,0.2804,0.2348
LinearSlope_5D,0.4332,0.1768,0.6228,0.6964
LinearSlope_10D,0.506,0.4564,0.6932,0.91
LinearSlope_20D,0.3648,0.2808,0.4316,0.4144
SharpRidge_5D,0.3816,0.5532,0.7304,0.7168
SharpRidge_10D,0.4336,0.5048,0.9288,0.98
SharpRidge_20D,0.3932,0.4072,0.4152,0.468
StepEllipsoidal_5D,0.4116,0.4764,0.5184,0.3932
StepEllipsoidal_10D,0.486,0.566,0.8004,0.8808
StepEllipsoidal_20D,0.3456,0.3644,0.8952,0.7396
RosenbrockRotated_5D,0.36,0.466,0.368,0.4036
RosenbrockRotated_10D,0.3664,0.4032,0.802,0.696
RosenbrockRotated_20D,0.2776,0.244,0.2412,0.2328
SchaffersIllConditioned_5D,0.4428,0.4148,0.3592,0.2604
SchaffersIllConditioned_10D,0.4532,0.4748,0.2768,0.3164
SchaffersIllConditioned_20D,0.5124,0.5828,0.3504,0.4332
LunacekBiR_5D,0.3452,0.4384,0.4564,0.5476
LunacekBiR_10D,0.4472,0.5436,0.4564,0.616
LunacekBiR_20D,0.3688,0.4912,0.2904,0.4616
GG101me_5D,0.5092,0.5296,0.5844,0.4388
GG101me_10D,0.4916,0.5536,0.8128,0.7816
GG101me_20D,0.3492,0.328,0.2756,0.2024
GG21hi_5D,0.4964,0.4972,0.5464,0.4552
GG21hi_10D,0.4,0.3764,0.396,0.336
GG21hi_20D,0.4452,0.4152,0.3484,0.4012
