Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.2772,0.4428,0.2956,0.4644
Discus,0.4648,0.4356,0.432,0.72
Ellipsoid,0.2124,0.314,0.26,0.536
Katsuura,0.484,0.4476,0.39,0.3672
Rastrigin,0.2416,0.3976,0.234,0.464
Rosenbrock,0.2424,0.388,0.1952,0.498
Schaffers,0.3328,0.3672,0.3924,0.4836
Schwefel,0.312,0.2228,0.328,0.5348
Sphere,0.1188,0.2908,0.2464,0.4436
Weierstrass,0.6628,0.6832,0.7136,0.6892
AttractiveSector_5D,0.4856,0.4108,0.4032,0.2608
AttractiveSector_10D,0.3292,0.3904,0.5132,0.6628
AttractiveSector_20D,0.1408,0.3028,0.8136,0.7756
BuecheRastrigin_5D,0.3132,0.4516,0.346,0.1712
BuecheRastrigin_10D,0.2772,0.4576,0.7188,0.8368
BuecheRastrigin_20D,0.1872,0.3288,0.18,0.2008
CompositeGR_5D,0.3296,0.3768,0.3572,0.3504
CompositeGR_10D,0.2184,0.3084,0.1932,0.336
CompositeGR_20D,0.1096,0.248,0.3392,0.59
DifferentPowers_5D,0.2472,0.4916,0.5688,0.7212
DifferentPowers_10D,0.2756,0.4044,0.3892,0.1956
DifferentPowers_20D,0.184,0.3724,0.0748,0.1744
LinearSlope_5D,0.3596,0.1892,0.5556,0.7104
LinearSlope_10D,0.3612,0.5216,0.5684,0.9388
LinearSlope_20D,0.1568,0.2764,0.2184,0.456
SharpRidge_5D,0.232,0.4524,0.582,0.6536
SharpRidge_10D,0.2552,0.4548,0.8624,0.9788
SharpRidge_20D,0.2128,0.448,0.2236,0.5376
StepEllipsoidal_5D,0.3332,0.6004,0.4356,0.5512
StepEllipsoidal_10D,0.3352,0.6124,0.6888,0.8908
StepEllipsoidal_20D,0.2016,0.3884,0.84,0.812
RosenbrockRotated_5D,0.3604,0.49,0.362,0.4316
RosenbrockRotated_10D,0.1976,0.4996,0.6772,0.8336
RosenbrockRotated_20D,0.1216,0.1776,0.0824,0.18
SchaffersIllConditioned_5D,0.3288,0.4548,0.2644,0.2796
SchaffersIllConditioned_10D,0.242,0.3072,0.1088,0.1676
SchaffersIllConditioned_20D,0.2796,0.3248,0.1636,0.2148
LunacekBiR_5D,0.3144,0.3504,0.4436,0.4588
LunacekBiR_10D,0.216,0.3392,0.2356,0.3748
LunacekBiR_20D,0.1708,0.3024,0.1144,0.2736
GG101me_5D,0.4804,0.5812,0.5536,0.4912
GG101me_10D,0.372,0.5008,0.75,0.7804
GG101me_20D,0.2352,0.3596,0.1872,0.2308
GG21hi_5D,0.4016,0.4592,0.4484,0.422
GG21hi_10D,0.2928,0.4156,0.2884,0.3716
GG21hi_20D,0.3288,0.3736,0.2392,0.3216
