Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.2732,0.53,0.298,0.546
Discus,0.4972,0.346,0.4584,0.6456
Ellipsoid,0.2696,0.4948,0.3176,0.6856
Katsuura,0.57,0.5848,0.4632,0.5044
Rastrigin,0.41,0.6108,0.4444,0.7028
Rosenbrock,0.3508,0.5272,0.2828,0.5864
Schaffers,0.358,0.466,0.4172,0.5716
Schwefel,0.3596,0.4592,0.3772,0.7324
Sphere,0.1988,0.4384,0.3564,0.5444
Weierstrass,0.5588,0.6304,0.618,0.6544
AttractiveSector_5D,0.4376,0.5992,0.3588,0.4748
AttractiveSector_10D,0.3292,0.4448,0.5184,0.7204
AttractiveSector_20D,0.1696,0.4088,0.9248,0.9032
BuecheRastrigin_5D,0.376,0.5308,0.4692,0.2284
BuecheRastrigin_10D,0.3652,0.582,0.794,0.9024
BuecheRastrigin_20D,0.2408,0.4984,0.2492,0.3788
CompositeGR_5D,0.2712,0.4988,0.3036,0.4756
CompositeGR_10D,0.236,0.3944,0.2076,0.4124
CompositeGR_20D,0.23,0.4112,0.5124,0.748
DifferentPowers_5D,0.2552,0.61,0.6292,0.8696
DifferentPowers_10D,0.4124,0.6152,0.5676,0.4564
DifferentPowers_20D,0.2876,0.5656,0.144,0.3276
LinearSlope_5D,0.3148,0.2092,0.5236,0.7548
LinearSlope_10D,0.4972,0.622,0.6908,0.964
LinearSlope_20D,0.3144,0.4616,0.3808,0.6316
SharpRidge_5D,0.2544,0.516,0.5916,0.6788
SharpRidge_10D,0.3852,0.64,0.9476,0.9992
SharpRidge_20D,0.3232,0.4956,0.3364,0.578
StepEllipsoidal_5D,0.4004,0.6648,0.5176,0.6244
StepEllipsoidal_10D,0.4356,0.7632,0.782,0.9652
StepEllipsoidal_20D,0.292,0.564,0.9124,0.9356
RosenbrockRotated_5D,0.3428,0.5792,0.3576,0.4996
RosenbrockRotated_10D,0.2172,0.542,0.6996,0.8824
RosenbrockRotated_20D,0.1872,0.3264,0.1448,0.3084
SchaffersIllConditioned_5D,0.33,0.552,0.2616,0.3684
SchaffersIllConditioned_10D,0.3868,0.5524,0.2032,0.3928
SchaffersIllConditioned_20D,0.4152,0.5464,0.2648,0.39
LunacekBiR_5D,0.3408,0.478,0.4628,0.586
LunacekBiR_10D,0.3616,0.5116,0.378,0.5812
LunacekBiR_20D,0.2608,0.42,0.1908,0.3736
GG101me_5D,0.5252,0.634,0.5988,0.562
GG101me_10D,0.3764,0.5192,0.7664,0.7732
GG101me_20D,0.2696,0.3512,0.2012,0.2132
GG21hi_5D,0.4392,0.5432,0.4872,0.4924
GG21hi_10D,0.4,0.5396,0.3896,0.4976
GG21hi_20D,0.4628,0.5012,0.3396,0.4764
