Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.304,0.4132,0.3284,0.4396
Discus,0.5052,0.4048,0.4688,0.7132
Ellipsoid,0.3696,0.29,0.4072,0.518
Katsuura,0.542,0.5756,0.432,0.4796
Rastrigin,0.3616,0.5012,0.3928,0.5796
Rosenbrock,0.3128,0.3036,0.254,0.4296
Schaffers,0.3056,0.3336,0.3752,0.4392
Schwefel,0.3512,0.2808,0.3588,0.562
Sphere,0.1192,0.2304,0.2464,0.4088
Weierstrass,0.722,0.7724,0.7664,0.7744
AttractiveSector_5D,0.4472,0.39,0.3748,0.2536
AttractiveSector_10D,0.4492,0.3796,0.6228,0.6216
AttractiveSector_20D,0.13,0.3176,0.8944,0.7808
BuecheRastrigin_5D,0.258,0.3804,0.31,0.1448
BuecheRastrigin_10D,0.2136,0.3272,0.6072,0.6228
BuecheRastrigin_20D,0.1768,0.2584,0.1644,0.144
CompositeGR_5D,0.3156,0.3696,0.3448,0.354
CompositeGR_10D,0.192,0.4356,0.1796,0.4512
CompositeGR_20D,0.208,0.4124,0.4724,0.7156
DifferentPowers_5D,0.2064,0.4844,0.5192,0.6696
DifferentPowers_10D,0.2952,0.3348,0.4184,0.1564
DifferentPowers_20D,0.26,0.3508,0.1248,0.1828
LinearSlope_5D,0.3048,0.1804,0.4952,0.6844
LinearSlope_10D,0.3736,0.4932,0.5812,0.9408
LinearSlope_20D,0.168,0.252,0.2276,0.3696
SharpRidge_5D,0.2232,0.4608,0.554,0.614
SharpRidge_10D,0.3192,0.4612,0.8928,0.9828
SharpRidge_20D,0.1728,0.3076,0.1876,0.3572
StepEllipsoidal_5D,0.452,0.5208,0.5664,0.4568
StepEllipsoidal_10D,0.4648,0.6232,0.7844,0.9168
StepEllipsoidal_20D,0.2476,0.3272,0.8092,0.7056
RosenbrockRotated_5D,0.3072,0.4828,0.3212,0.4196
RosenbrockRotated_10D,0.2252,0.4144,0.694,0.7144
RosenbrockRotated_20D,0.2216,0.2028,0.1756,0.1928
SchaffersIllConditioned_5D,0.3592,0.4276,0.2912,0.2664
SchaffersIllConditioned_10D,0.3616,0.4004,0.1996,0.25
SchaffersIllConditioned_20D,0.3576,0.4256,0.208,0.2916
LunacekBiR_5D,0.3276,0.4152,0.4316,0.516
LunacekBiR_10D,0.336,0.506,0.3448,0.5532
LunacekBiR_20D,0.2692,0.3704,0.214,0.3488
GG101me_5D,0.4976,0.6192,0.5652,0.5312
GG101me_10D,0.3664,0.4584,0.7208,0.73
GG101me_20D,0.2116,0.254,0.1636,0.1492
GG21hi_5D,0.512,0.4816,0.5632,0.4292
GG21hi_10D,0.2892,0.3812,0.2792,0.3396
GG21hi_20D,0.3708,0.3932,0.2764,0.3728
