Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.2276,0.4172,0.244,0.4488
Discus,0.4528,0.502,0.4164,0.7324
Ellipsoid,0.206,0.306,0.2524,0.522
Katsuura,0.5252,0.4476,0.4156,0.3696
Rastrigin,0.3756,0.6388,0.3892,0.7476
Rosenbrock,0.2712,0.3764,0.2144,0.4916
Schaffers,0.2716,0.4284,0.34,0.5288
Schwefel,0.2416,0.3156,0.256,0.6224
Sphere,0.088,0.192,0.1952,0.3696
Weierstrass,0.6032,0.7304,0.6536,0.728
AttractiveSector_5D,0.3676,0.4492,0.3,0.2688
AttractiveSector_10D,0.352,0.3692,0.546,0.5988
AttractiveSector_20D,0.1036,0.424,0.8308,0.8552
BuecheRastrigin_5D,0.2392,0.4844,0.2744,0.2188
BuecheRastrigin_10D,0.2268,0.45,0.65,0.8368
BuecheRastrigin_20D,0.1888,0.4068,0.184,0.2708
CompositeGR_5D,0.3032,0.434,0.3344,0.4176
CompositeGR_10D,0.1672,0.3288,0.1508,0.3544
CompositeGR_20D,0.1448,0.4564,0.3872,0.7504
DifferentPowers_5D,0.1752,0.5448,0.4716,0.732
DifferentPowers_10D,0.306,0.4344,0.4476,0.24
DifferentPowers_20D,0.2284,0.4944,0.1096,0.2556
LinearSlope_5D,0.258,0.1948,0.4648,0.7068
LinearSlope_10D,0.3476,0.57,0.5764,0.95
LinearSlope_20D,0.1528,0.322,0.2176,0.4844
SharpRidge_5D,0.3168,0.548,0.6356,0.7336
SharpRidge_10D,0.28,0.552,0.9052,0.9964
SharpRidge_20D,0.2048,0.4272,0.2108,0.492
StepEllipsoidal_5D,0.3756,0.62,0.4896,0.5712
StepEllipsoidal_10D,0.3908,0.6948,0.7112,0.922
StepEllipsoidal_20D,0.2356,0.4392,0.8668,0.8736
RosenbrockRotated_5D,0.2532,0.564,0.27,0.4992
RosenbrockRotated_10D,0.1932,0.4508,0.6604,0.7904
RosenbrockRotated_20D,0.1464,0.254,0.1132,0.2432
SchaffersIllConditioned_5D,0.3308,0.604,0.2708,0.4036
SchaffersIllConditioned_10D,0.3148,0.4928,0.1448,0.3236
SchaffersIllConditioned_20D,0.3224,0.5424,0.194,0.3768
LunacekBiR_5D,0.2836,0.4736,0.414,0.5968
LunacekBiR_10D,0.2692,0.5268,0.2908,0.6032
LunacekBiR_20D,0.2376,0.48,0.1688,0.4376
GG101me_5D,0.4856,0.616,0.558,0.5364
GG101me_10D,0.328,0.5584,0.7236,0.812
GG101me_20D,0.2084,0.3312,0.16,0.2112
GG21hi_5D,0.4724,0.5444,0.5264,0.492
GG21hi_10D,0.2916,0.4516,0.29,0.4104
GG21hi_20D,0.3576,0.4508,0.2548,0.4268
