Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.346,0.6032,0.386,0.6388
Discus,0.4376,0.356,0.4032,0.6532
Ellipsoid,0.298,0.4648,0.3376,0.6628
Katsuura,0.6332,0.5488,0.528,0.4588
Rastrigin,0.3196,0.5532,0.3304,0.6548
Rosenbrock,0.3104,0.4592,0.2556,0.5596
Schaffers,0.2888,0.4384,0.352,0.538
Schwefel,0.2544,0.3452,0.2744,0.6392
Sphere,0.108,0.3124,0.2436,0.4684
Weierstrass,0.446,0.4236,0.4832,0.4788
AttractiveSector_5D,0.4936,0.4724,0.4148,0.3176
AttractiveSector_10D,0.3184,0.5436,0.5268,0.794
AttractiveSector_20D,0.1732,0.5436,0.914,0.9648
BuecheRastrigin_5D,0.2988,0.53,0.3364,0.2188
BuecheRastrigin_10D,0.3292,0.5324,0.8156,0.9152
BuecheRastrigin_20D,0.3476,0.6732,0.4008,0.5816
CompositeGR_5D,0.296,0.4412,0.3308,0.4292
CompositeGR_10D,0.2104,0.4196,0.1972,0.4384
CompositeGR_20D,0.114,0.3712,0.3192,0.722
DifferentPowers_5D,0.1928,0.6124,0.4884,0.7892
DifferentPowers_10D,0.306,0.5412,0.4404,0.36
DifferentPowers_20D,0.2792,0.6396,0.1412,0.4072
LinearSlope_5D,0.366,0.194,0.57,0.7236
LinearSlope_10D,0.5636,0.674,0.746,0.9632
LinearSlope_20D,0.3756,0.552,0.4288,0.696
SharpRidge_5D,0.2284,0.5528,0.5332,0.7412
SharpRidge_10D,0.4112,0.6652,0.9484,0.9896
SharpRidge_20D,0.3728,0.7036,0.3984,0.7996
StepEllipsoidal_5D,0.4224,0.6736,0.5604,0.6448
StepEllipsoidal_10D,0.3936,0.7364,0.7472,0.9684
StepEllipsoidal_20D,0.3,0.6304,0.9076,0.9576
RosenbrockRotated_5D,0.2252,0.5812,0.232,0.5096
RosenbrockRotated_10D,0.1956,0.526,0.6404,0.8428
RosenbrockRotated_20D,0.122,0.3932,0.0864,0.3816
SchaffersIllConditioned_5D,0.3196,0.6224,0.252,0.4408
SchaffersIllConditioned_10D,0.338,0.5804,0.1476,0.4312
SchaffersIllConditioned_20D,0.4264,0.6356,0.278,0.482
LunacekBiR_5D,0.2832,0.4456,0.3996,0.5596
LunacekBiR_10D,0.2452,0.4616,0.2728,0.5416
LunacekBiR_20D,0.2092,0.4808,0.1388,0.4448
GG101me_5D,0.4692,0.602,0.5336,0.516
GG101me_10D,0.3672,0.5952,0.7436,0.8104
GG101me_20D,0.27,0.4748,0.2096,0.332
GG21hi_5D,0.4512,0.5572,0.5016,0.5056
GG21hi_10D,0.3144,0.5144,0.3148,0.4728
GG21hi_20D,0.4796,0.5736,0.3644,0.5744
