Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.2852,0.5704,0.316,0.592
Discus,0.3932,0.25,0.356,0.5484
Ellipsoid,0.292,0.5404,0.3348,0.7344
Katsuura,0.5968,0.5132,0.5016,0.4272
Rastrigin,0.3188,0.488,0.3244,0.5792
Rosenbrock,0.3476,0.5836,0.2804,0.6316
Schaffers,0.3304,0.4392,0.3848,0.542
Schwefel,0.294,0.384,0.3104,0.6832
Sphere,0.1856,0.4792,0.3396,0.5488
Weierstrass,0.4456,0.4036,0.492,0.4648
AttractiveSector_5D,0.4636,0.4752,0.3872,0.3372
AttractiveSector_10D,0.3448,0.4768,0.5368,0.7476
AttractiveSector_20D,0.1636,0.4924,0.9196,0.9524
BuecheRastrigin_5D,0.3052,0.572,0.3568,0.2572
BuecheRastrigin_10D,0.3208,0.4692,0.746,0.8364
BuecheRastrigin_20D,0.2884,0.5752,0.3156,0.4668
CompositeGR_5D,0.314,0.456,0.3484,0.44
CompositeGR_10D,0.1656,0.2936,0.1456,0.3324
CompositeGR_20D,0.1064,0.3736,0.366,0.7252
DifferentPowers_5D,0.2432,0.5684,0.6104,0.8108
DifferentPowers_10D,0.3456,0.6292,0.5104,0.4676
DifferentPowers_20D,0.2508,0.6544,0.1144,0.402
LinearSlope_5D,0.3752,0.2096,0.5804,0.7528
LinearSlope_10D,0.4648,0.6636,0.6632,0.9612
LinearSlope_20D,0.3032,0.5196,0.374,0.6788
SharpRidge_5D,0.2268,0.5444,0.5512,0.7392
SharpRidge_10D,0.3856,0.6276,0.9252,0.9796
SharpRidge_20D,0.3292,0.6316,0.3392,0.7224
StepEllipsoidal_5D,0.388,0.674,0.5004,0.6436
StepEllipsoidal_10D,0.3708,0.7912,0.7284,0.9708
StepEllipsoidal_20D,0.3088,0.6344,0.9228,0.9328
RosenbrockRotated_5D,0.3096,0.5896,0.314,0.5268
RosenbrockRotated_10D,0.1932,0.4976,0.6828,0.814
RosenbrockRotated_20D,0.1104,0.4044,0.0732,0.3772
SchaffersIllConditioned_5D,0.2648,0.4804,0.2028,0.308
SchaffersIllConditioned_10D,0.3164,0.4912,0.1384,0.3344
SchaffersIllConditioned_20D,0.3596,0.5584,0.2076,0.3972
LunacekBiR_5D,0.2668,0.3428,0.3848,0.45
LunacekBiR_10D,0.21,0.3608,0.2268,0.4392
LunacekBiR_20D,0.2052,0.4532,0.1412,0.4172
GG101me_5D,0.4916,0.622,0.5612,0.5464
GG101me_10D,0.2564,0.4588,0.622,0.7492
GG101me_20D,0.22,0.4172,0.172,0.2856
GG21hi_5D,0.3744,0.4644,0.438,0.412
GG21hi_10D,0.3908,0.5536,0.3836,0.514
GG21hi_20D,0.4572,0.5424,0.344,0.5204
