Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.3668,0.604,0.4028,0.6328
Discus,0.4204,0.284,0.3808,0.5764
Ellipsoid,0.33,0.5116,0.368,0.6876
Katsuura,0.4644,0.47,0.3532,0.3872
Rastrigin,0.4112,0.4856,0.4492,0.5748
Rosenbrock,0.4072,0.568,0.336,0.6304
Schaffers,0.3308,0.456,0.392,0.5492
Schwefel,0.2636,0.3272,0.28,0.6176
Sphere,0.2524,0.4588,0.3804,0.5528
Weierstrass,0.4264,0.4076,0.472,0.4756
AttractiveSector_5D,0.4968,0.5996,0.416,0.4596
AttractiveSector_10D,0.3392,0.5364,0.5368,0.772
AttractiveSector_20D,0.2548,0.5808,0.9396,0.9616
BuecheRastrigin_5D,0.3152,0.5584,0.3476,0.2712
BuecheRastrigin_10D,0.3,0.5448,0.7196,0.8688
BuecheRastrigin_20D,0.2264,0.5172,0.2156,0.394
CompositeGR_5D,0.3108,0.4512,0.3448,0.4272
CompositeGR_10D,0.1876,0.3556,0.1732,0.378
CompositeGR_20D,0.0892,0.2948,0.3556,0.6792
DifferentPowers_5D,0.2328,0.5732,0.5656,0.8324
DifferentPowers_10D,0.3992,0.666,0.5816,0.534
DifferentPowers_20D,0.3296,0.638,0.1612,0.3832
LinearSlope_5D,0.3816,0.218,0.5752,0.7772
LinearSlope_10D,0.4832,0.7336,0.6852,0.9776
LinearSlope_20D,0.3836,0.5916,0.4528,0.7496
SharpRidge_5D,0.2748,0.5304,0.5988,0.7076
SharpRidge_10D,0.3972,0.6612,0.9056,0.948
SharpRidge_20D,0.406,0.6668,0.42,0.7588
StepEllipsoidal_5D,0.3952,0.666,0.526,0.6368
StepEllipsoidal_10D,0.37,0.7596,0.7372,0.962
StepEllipsoidal_20D,0.414,0.7192,0.932,0.9292
RosenbrockRotated_5D,0.3052,0.5616,0.2924,0.4944
RosenbrockRotated_10D,0.2716,0.5924,0.7352,0.8208
RosenbrockRotated_20D,0.1736,0.4412,0.1316,0.4164
SchaffersIllConditioned_5D,0.386,0.5452,0.3172,0.3572
SchaffersIllConditioned_10D,0.3592,0.5108,0.1916,0.3584
SchaffersIllConditioned_20D,0.4144,0.5816,0.2544,0.426
LunacekBiR_5D,0.2952,0.366,0.4104,0.468
LunacekBiR_10D,0.3388,0.4872,0.3436,0.5596
LunacekBiR_20D,0.2652,0.4892,0.1876,0.4512
GG101me_5D,0.4224,0.542,0.492,0.4608
GG101me_10D,0.3396,0.5612,0.7096,0.792
GG101me_20D,0.2448,0.4068,0.178,0.2628
GG21hi_5D,0.3972,0.58,0.4568,0.534
GG21hi_10D,0.4,0.596,0.406,0.556
GG21hi_20D,0.3468,0.4656,0.2552,0.4416
