Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.2544,0.49,0.2812,0.5136
Discus,0.3932,0.3552,0.3584,0.6104
Ellipsoid,0.246,0.4128,0.2888,0.6168
Katsuura,0.6032,0.5,0.476,0.404
Rastrigin,0.3592,0.4928,0.3736,0.5876
Rosenbrock,0.2788,0.4952,0.2124,0.5796
Schaffers,0.3348,0.46,0.4076,0.5724
Schwefel,0.2904,0.2376,0.3044,0.574
Sphere,0.1452,0.388,0.2844,0.5164
Weierstrass,0.5332,0.4964,0.5776,0.5412
AttractiveSector_5D,0.432,0.3552,0.3512,0.2036
AttractiveSector_10D,0.3272,0.4764,0.5204,0.7588
AttractiveSector_20D,0.1536,0.4648,0.876,0.9008
BuecheRastrigin_5D,0.2556,0.5,0.2948,0.2064
BuecheRastrigin_10D,0.3364,0.5192,0.7836,0.874
BuecheRastrigin_20D,0.2608,0.5544,0.2624,0.4312
CompositeGR_5D,0.2812,0.3516,0.3112,0.3376
CompositeGR_10D,0.1656,0.3112,0.1476,0.3324
CompositeGR_20D,0.1704,0.3888,0.3872,0.724
DifferentPowers_5D,0.1784,0.4656,0.5252,0.6304
DifferentPowers_10D,0.3648,0.5608,0.5104,0.3964
DifferentPowers_20D,0.262,0.636,0.1312,0.3912
LinearSlope_5D,0.418,0.2012,0.6008,0.7416
LinearSlope_10D,0.476,0.7388,0.6784,0.9856
LinearSlope_20D,0.3864,0.5492,0.442,0.6888
SharpRidge_5D,0.2508,0.5068,0.6112,0.6808
SharpRidge_10D,0.3272,0.6316,0.9216,0.9992
SharpRidge_20D,0.2304,0.5752,0.246,0.6572
StepEllipsoidal_5D,0.304,0.6336,0.4068,0.5876
StepEllipsoidal_10D,0.3428,0.734,0.7164,0.9484
StepEllipsoidal_20D,0.2164,0.59,0.898,0.974
RosenbrockRotated_5D,0.2744,0.5436,0.2952,0.4724
RosenbrockRotated_10D,0.196,0.474,0.646,0.7936
RosenbrockRotated_20D,0.058,0.3196,0.0264,0.3112
SchaffersIllConditioned_5D,0.3252,0.4464,0.2564,0.272
SchaffersIllConditioned_10D,0.2932,0.4856,0.1292,0.3268
SchaffersIllConditioned_20D,0.25,0.3916,0.1496,0.258
LunacekBiR_5D,0.2644,0.2872,0.3756,0.3904
LunacekBiR_10D,0.2136,0.33,0.2148,0.3856
LunacekBiR_20D,0.164,0.43,0.108,0.402
GG101me_5D,0.4952,0.5752,0.5648,0.49
GG101me_10D,0.2688,0.4732,0.6848,0.7876
GG101me_20D,0.1924,0.3428,0.1488,0.2184
GG21hi_5D,0.3968,0.482,0.4548,0.4352
GG21hi_10D,0.3084,0.452,0.3132,0.4188
GG21hi_20D,0.3536,0.468,0.2568,0.4504
