Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.4044,0.5716,0.4356,0.588
Discus,0.432,0.2932,0.3984,0.5828
Ellipsoid,0.39,0.5964,0.4192,0.7512
Katsuura,0.6172,0.5752,0.5184,0.4984
Rastrigin,0.3364,0.4712,0.3468,0.564
Rosenbrock,0.4228,0.5132,0.352,0.5956
Schaffers,0.354,0.4856,0.422,0.6044
Schwefel,0.3076,0.3656,0.3188,0.6652
Sphere,0.2112,0.5068,0.358,0.5788
Weierstrass,0.4844,0.4856,0.5304,0.5292
AttractiveSector_5D,0.4828,0.59,0.404,0.4624
AttractiveSector_10D,0.3944,0.5516,0.582,0.7948
AttractiveSector_20D,0.1924,0.5164,0.916,0.9156
BuecheRastrigin_5D,0.2952,0.5396,0.3432,0.242
BuecheRastrigin_10D,0.3956,0.6068,0.8248,0.9324
BuecheRastrigin_20D,0.3532,0.6068,0.39,0.4848
CompositeGR_5D,0.2924,0.4332,0.3232,0.4228
CompositeGR_10D,0.236,0.382,0.2132,0.4084
CompositeGR_20D,0.1428,0.3056,0.4176,0.6568
DifferentPowers_5D,0.2484,0.6424,0.602,0.8636
DifferentPowers_10D,0.362,0.6168,0.5184,0.4592
DifferentPowers_20D,0.344,0.684,0.188,0.448
LinearSlope_5D,0.36,0.2004,0.5612,0.7304
LinearSlope_10D,0.456,0.6856,0.652,0.9636
LinearSlope_20D,0.358,0.6356,0.4224,0.7804
SharpRidge_5D,0.262,0.5444,0.598,0.7624
SharpRidge_10D,0.398,0.6892,0.9536,1.0
SharpRidge_20D,0.3684,0.6696,0.3752,0.7652
StepEllipsoidal_5D,0.3764,0.6848,0.5112,0.6464
StepEllipsoidal_10D,0.4928,0.8508,0.8248,0.9844
StepEllipsoidal_20D,0.3604,0.6508,0.9204,0.9164
RosenbrockRotated_5D,0.3356,0.5704,0.3272,0.502
RosenbrockRotated_10D,0.2188,0.5164,0.682,0.8244
RosenbrockRotated_20D,0.1736,0.4624,0.1252,0.4424
SchaffersIllConditioned_5D,0.3668,0.6412,0.2932,0.4448
SchaffersIllConditioned_10D,0.3732,0.5436,0.1852,0.3816
SchaffersIllConditioned_20D,0.3284,0.45,0.2016,0.3124
LunacekBiR_5D,0.3056,0.3568,0.4276,0.4684
LunacekBiR_10D,0.2664,0.4176,0.2708,0.4956
LunacekBiR_20D,0.1932,0.4408,0.134,0.4076
GG101me_5D,0.452,0.6348,0.5288,0.5488
GG101me_10D,0.3996,0.6032,0.7212,0.8132
GG101me_20D,0.2992,0.4744,0.2344,0.3256
GG21hi_5D,0.4124,0.4916,0.4444,0.4464
GG21hi_10D,0.4256,0.6072,0.4248,0.5612
GG21hi_20D,0.4028,0.5768,0.2976,0.5764
