Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.2308,0.3644,0.2492,0.4024
Discus,0.51,0.4056,0.4832,0.6704
Ellipsoid,0.2048,0.226,0.2488,0.442
Katsuura,0.5864,0.5236,0.474,0.432
Rastrigin,0.268,0.5584,0.272,0.6584
Rosenbrock,0.286,0.2744,0.22,0.374
Schaffers,0.2456,0.4416,0.3052,0.5388
Schwefel,0.2204,0.206,0.2368,0.4796
Sphere,0.0888,0.3668,0.2092,0.4692
Weierstrass,0.436,0.5028,0.4844,0.56
AttractiveSector_5D,0.5688,0.3552,0.4756,0.206
AttractiveSector_10D,0.35,0.3392,0.5368,0.5512
AttractiveSector_20D,0.078,0.252,0.826,0.7916
BuecheRastrigin_5D,0.286,0.4852,0.3292,0.1996
BuecheRastrigin_10D,0.2672,0.444,0.6776,0.74
BuecheRastrigin_20D,0.1892,0.532,0.1704,0.4088
CompositeGR_5D,0.326,0.3724,0.358,0.3492
CompositeGR_10D,0.1616,0.3788,0.1496,0.3872
CompositeGR_20D,0.0744,0.2696,0.292,0.6124
DifferentPowers_5D,0.2208,0.5144,0.57,0.7188
DifferentPowers_10D,0.2904,0.5088,0.4264,0.3308
DifferentPowers_20D,0.2512,0.526,0.1356,0.3088
LinearSlope_5D,0.3464,0.1976,0.538,0.7236
LinearSlope_10D,0.4192,0.5772,0.6208,0.928
LinearSlope_20D,0.28,0.4756,0.3448,0.6188
SharpRidge_5D,0.1284,0.4112,0.4076,0.5748
SharpRidge_10D,0.2824,0.5176,0.9032,0.996
SharpRidge_20D,0.2944,0.5948,0.3128,0.7052
StepEllipsoidal_5D,0.3892,0.6084,0.5,0.5708
StepEllipsoidal_10D,0.2956,0.5956,0.6424,0.8732
StepEllipsoidal_20D,0.1928,0.4276,0.8272,0.788
RosenbrockRotated_5D,0.2532,0.4412,0.264,0.396
RosenbrockRotated_10D,0.1188,0.3796,0.5276,0.672
RosenbrockRotated_20D,0.066,0.2164,0.0308,0.2096
SchaffersIllConditioned_5D,0.2372,0.4144,0.1916,0.2636
SchaffersIllConditioned_10D,0.3056,0.478,0.152,0.322
SchaffersIllConditioned_20D,0.2464,0.3892,0.1444,0.2584
LunacekBiR_5D,0.2636,0.3148,0.3624,0.4032
LunacekBiR_10D,0.216,0.47,0.2384,0.548
LunacekBiR_20D,0.2168,0.454,0.1504,0.4208
GG101me_5D,0.4016,0.5212,0.4688,0.4448
GG101me_10D,0.29,0.4628,0.668,0.754
GG101me_20D,0.2556,0.3856,0.1964,0.2544
GG21hi_5D,0.4384,0.4924,0.4772,0.4456
GG21hi_10D,0.3852,0.5224,0.3768,0.482
GG21hi_20D,0.43,0.5124,0.3028,0.4988
