Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.354,0.5908,0.3888,0.6172
Discus,0.4384,0.2972,0.4024,0.572
Ellipsoid,0.3396,0.5296,0.378,0.7056
Katsuura,0.5184,0.4516,0.4172,0.384
Rastrigin,0.3556,0.4748,0.3708,0.5628
Rosenbrock,0.3824,0.5428,0.3216,0.6204
Schaffers,0.3376,0.4252,0.4024,0.5292
Schwefel,0.2472,0.3232,0.2604,0.6492
Sphere,0.2188,0.4524,0.3516,0.5432
Weierstrass,0.4112,0.3592,0.4512,0.4316
AttractiveSector_5D,0.422,0.5452,0.3584,0.4052
AttractiveSector_10D,0.3276,0.5352,0.526,0.7568
AttractiveSector_20D,0.1676,0.542,0.8936,0.954
BuecheRastrigin_5D,0.3284,0.4808,0.3976,0.2192
BuecheRastrigin_10D,0.3952,0.5352,0.826,0.8552
BuecheRastrigin_20D,0.2876,0.5056,0.3104,0.3884
CompositeGR_5D,0.2964,0.4484,0.338,0.4288
CompositeGR_10D,0.1964,0.3704,0.1776,0.392
CompositeGR_20D,0.098,0.2992,0.3292,0.6644
DifferentPowers_5D,0.208,0.5448,0.5276,0.7528
DifferentPowers_10D,0.3244,0.5624,0.4532,0.3668
DifferentPowers_20D,0.35,0.66,0.1984,0.4228
LinearSlope_5D,0.3788,0.21,0.5792,0.7608
LinearSlope_10D,0.4796,0.64,0.67,0.9712
LinearSlope_20D,0.318,0.5056,0.384,0.6612
SharpRidge_5D,0.2808,0.5736,0.6464,0.7628
SharpRidge_10D,0.3284,0.618,0.9276,0.9932
SharpRidge_20D,0.3636,0.6472,0.3828,0.7388
StepEllipsoidal_5D,0.4204,0.698,0.5372,0.6712
StepEllipsoidal_10D,0.3848,0.7908,0.7392,0.9724
StepEllipsoidal_20D,0.3412,0.5884,0.9136,0.91
RosenbrockRotated_5D,0.3044,0.558,0.3224,0.4876
RosenbrockRotated_10D,0.242,0.5384,0.6928,0.8688
RosenbrockRotated_20D,0.1336,0.3888,0.0984,0.37
SchaffersIllConditioned_5D,0.3496,0.514,0.284,0.338
SchaffersIllConditioned_10D,0.4528,0.6088,0.2428,0.4592
SchaffersIllConditioned_20D,0.3852,0.5532,0.2288,0.3984
LunacekBiR_5D,0.3336,0.3184,0.4516,0.4332
LunacekBiR_10D,0.3692,0.51,0.3828,0.5892
LunacekBiR_20D,0.2728,0.4788,0.1924,0.438
GG101me_5D,0.4444,0.594,0.5256,0.5028
GG101me_10D,0.3364,0.5532,0.6904,0.8084
GG101me_20D,0.2844,0.4624,0.2268,0.3232
GG21hi_5D,0.4372,0.5324,0.4892,0.4884
GG21hi_10D,0.422,0.6228,0.422,0.5784
GG21hi_20D,0.3844,0.4732,0.2796,0.4592
