Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar, 0.6476, 0.3876, 0.6756, 0.4088
Discus, 0.4596, 0.3684, 0.4228, 0.64
Ellipsoid, 0.3156, 0.6368, 0.3524, 0.8048
Katsuura, 0.5888, 0.592, 0.4864, 0.5148
Rastrigin, 0.4068, 0.6936, 0.4436, 0.7988
Rosenbrock, 0.204, 0.1368, 0.1568, 0.2884
Schaffers, 0.2836, 0.5368, 0.3612, 0.6444
Schwefel, 0.082, 0.0524, 0.104, 0.324
Sphere, 0.0108, 0.0028, 0.0468, 0.0584
Weierstrass, 0.6128, 0.5892, 0.6632, 0.6176
AttractiveSector_5D, 0.4976, 0.288, 0.4144, 0.1348
AttractiveSector_10D, 0.2916, 0.1, 0.4964, 0.2416
AttractiveSector_20D, 0.3288, 0.3584, 0.9316, 0.818
BuecheRastrigin_5D, 0.1132, 0.5288, 0.1104, 0.1824
BuecheRastrigin_10D, 0.3984, 0.8256, 0.8816, 0.9936
BuecheRastrigin_20D, 0.2908, 0.2692, 0.2976, 0.1352
CompositeGR_5D, 0.3108, 0.442, 0.352, 0.43
CompositeGR_10D, 0.1912, 0.4724, 0.1704, 0.4876
CompositeGR_20D, 0.3476, 0.4684, 0.6452, 0.7292
DifferentPowers_5D, 0.042, 0.0208, 0.1708, 0.0
DifferentPowers_10D, 0.08, 0.1424, 0.1024, 0.0132
DifferentPowers_20D, 0.3148, 0.5376, 0.1624, 0.3092
LinearSlope_5D, 0.394, 0.186, 0.5912, 0.7196
LinearSlope_10D, 0.2392, 0.5516, 0.4636, 0.9712
LinearSlope_20D, 0.6048, 0.724, 0.662, 0.848
SharpRidge_5D, 0.12, 0.476, 0.3664, 0.7004
SharpRidge_10D, 0.6836, 0.726, 0.9912, 1.0
SharpRidge_20D, 0.6836, 0.786, 0.7212, 0.878
StepEllipsoidal_5D, 0.23, 0.3548, 0.268, 0.2444
StepEllipsoidal_10D, 0.2324, 0.7956, 0.6148, 0.982
StepEllipsoidal_20D, 0.5716, 0.6508, 0.986, 0.9624
RosenbrockRotated_5D, 0.1496, 0.114, 0.15, 0.1024
RosenbrockRotated_10D, 0.2588, 0.4228, 0.7912, 0.7648
RosenbrockRotated_20D, 0.262, 0.3452, 0.202, 0.3272
SchaffersIllConditioned_5D, 0.0968, 0.1168, 0.0688, 0.0616
SchaffersIllConditioned_10D, 0.2324, 0.4716, 0.0956, 0.3068
SchaffersIllConditioned_20D, 0.0932, 0.056, 0.0452, 0.0272
LunacekBiR_5D, 0.1436, 0.1304, 0.2116, 0.2012
LunacekBiR_10D, 0.3128, 0.3372, 0.3384, 0.4072
LunacekBiR_20D, 0.1072, 0.5164, 0.0656, 0.488
GG101me_5D, 0.3464, 0.562, 0.4296, 0.4752
GG101me_10D, 0.2684, 0.356, 0.62, 0.6832
GG101me_20D, 0.5088, 0.4828, 0.4296, 0.3236
GG21hi_5D, 0.3612, 0.3992, 0.4228, 0.3376
GG21hi_10D, 0.2192, 0.348, 0.2104, 0.3148
GG21hi_20D, 0.592, 0.4952, 0.4832, 0.482
