Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar, 0.4528, 0.5832, 0.4876, 0.6024
Discus, 0.5044, 0.3772, 0.4724, 0.7104
Ellipsoid, 0.3968, 0.478, 0.4336, 0.68
Katsuura, 0.6152, 0.5352, 0.4888, 0.4324
Rastrigin, 0.4512, 0.528, 0.5072, 0.6192
Rosenbrock, 0.3944, 0.5196, 0.326, 0.5956
Schaffers, 0.462, 0.5636, 0.5284, 0.6572
Schwefel, 0.3316, 0.2772, 0.3416, 0.6164
Sphere, 0.0292, 0.25, 0.1064, 0.4524
Weierstrass, 0.7252, 0.7928, 0.7704, 0.7848
AttractiveSector_5D, 0.4572, 0.4488, 0.378, 0.2488
AttractiveSector_10D, 0.458, 0.492, 0.6316, 0.7704
AttractiveSector_20D, 0.3904, 0.508, 0.9768, 0.93
BuecheRastrigin_5D, 0.1944, 0.548, 0.2204, 0.2184
BuecheRastrigin_10D, 0.3852, 0.6144, 0.8428, 0.9352
BuecheRastrigin_20D, 0.3268, 0.7472, 0.3696, 0.6516
CompositeGR_5D, 0.2496, 0.4124, 0.2848, 0.392
CompositeGR_10D, 0.4068, 0.6048, 0.3648, 0.6112
CompositeGR_20D, 0.3544, 0.7464, 0.6636, 0.9228
DifferentPowers_5D, 0.2212, 0.6268, 0.5876, 0.9096
DifferentPowers_10D, 0.3064, 0.4824, 0.4308, 0.292
DifferentPowers_20D,,,,
LinearSlope_5D, 0.364, 0.22, 0.5636, 0.78
LinearSlope_10D, 0.4572, 0.6976, 0.662, 0.9924
LinearSlope_20D, 0.5612, 0.7788, 0.6168, 0.8888
SharpRidge_5D,,,,
SharpRidge_10D, 0.4248, 0.6012, 0.9436, 0.9924
SharpRidge_20D, 0.286, 0.5584, 0.294, 0.6668
StepEllipsoidal_5D,,,,
StepEllipsoidal_10D,,,,
StepEllipsoidal_20D, 0.4388, 0.5548, 0.948, 0.8788
RosenbrockRotated_5D,,,,
RosenbrockRotated_10D,,,,
RosenbrockRotated_20D,,,,
SchaffersIllConditioned_5D,,,,
SchaffersIllConditioned_10D,,,,
SchaffersIllConditioned_20D,,,,
LunacekBiR_5D, 0.4292, 0.4732, 0.5892, 0.594
LunacekBiR_10D, 0.422, 0.5896, 0.4284, 0.6548
LunacekBiR_20D, 0.2392, 0.6936, 0.1668, 0.678
GG101me_5D, 0.2788, 0.4008, 0.3448, 0.3272
GG101me_10D, 0.2592, 0.5604, 0.6416, 0.8008
GG101me_20D, 0.4068, 0.5696, 0.3152, 0.4148
GG21hi_5D, 0.4884, 0.5436, 0.5312, 0.5036
GG21hi_10D, 0.456, 0.5748, 0.4524, 0.5368
GG21hi_20D, 0.5076, 0.5964, 0.4128, 0.5944
