Function,AUC iDE,Best iDE
BentCigar,0.5372,0.5332
Discus,0.4608,0.7952
Ellipsoid,0.5204,0.682
Katsuura,0.3868,0.414
Rastrigin,0.5564,0.584
Rosenbrock,0.43,0.5796
Schaffers,0.5576,0.594
Schwefel,0.5064,0.762
Sphere,0.6376,0.5756
Weierstrass,0.5472,0.5572
AttractiveSector_5D,0.4176,0.3632
AttractiveSector_10D,0.6704,0.7572
AttractiveSector_20D,0.9808,0.9052
BuecheRastrigin_5D,0.5896,0.2236
BuecheRastrigin_10D,0.8432,0.7836
BuecheRastrigin_20D,0.57,0.382
CompositeGR_5D,0.5452,0.4804
CompositeGR_10D,0.4396,0.5084
CompositeGR_20D,0.81,0.83
DifferentPowers_5D,0.828,0.67
DifferentPowers_10D,0.6412,0.3244
DifferentPowers_20D,0.284,0.2784
LinearSlope_5D,0.6636,0.7212
LinearSlope_10D,0.68,0.8976
LinearSlope_20D,0.5544,0.646
SharpRidge_5D,0.8112,0.676
SharpRidge_10D,0.9424,0.9948
SharpRidge_20D,0.5188,0.5772
StepEllipsoidal_5D,0.6024,0.4364
StepEllipsoidal_10D,0.8064,0.8436
StepEllipsoidal_20D,0.9504,0.8308
RosenbrockRotated_5D,0.5096,0.4488
RosenbrockRotated_10D,0.8916,0.8128
RosenbrockRotated_20D,0.458,0.474
SchaffersIllConditioned_5D,0.4136,0.3256
SchaffersIllConditioned_10D,0.316,0.3496
SchaffersIllConditioned_20D,0.3404,0.3544
LunacekBiR_5D,0.6368,0.612
LunacekBiR_10D,0.512,0.5764
LunacekBiR_20D,0.4328,0.466
GG101me_5D,0.5704,0.4224
GG101me_10D,0.8152,0.7704
GG101me_20D,0.404,0.3428
GG21hi_5D,0.5412,0.4628
GG21hi_10D,0.506,0.4536
GG21hi_20D,0.3876,0.476
