Function,AUC jDE,Best jDE,AUC iDE,Best iDE
inst_42_BentCigar,0.3228,0.6084,0.22,0.6684
inst_42_Discus,0.4308,0.3844,0.5032,0.7184
inst_42_Ellipsoid,0.2688,0.6084,0.288,0.8908
inst_42_Katsuura,0.4884,0.4784,0.4856,0.5028
inst_42_Rastrigin,0.3592,0.5608,0.5504,0.6756
inst_42_Rosenbrock,0.2776,0.5404,0.2928,0.4164
inst_42_Schaffers,0.43,0.61,0.7144,0.9104
inst_42_Schwefel,0.3104,0.6348,0.368,0.8464
inst_42_Sphere,0.2436,0.522,0.6664,0.9936
inst_42_Weierstrass,0.5036,0.5712,0.6404,0.7332
inst_42_AttractiveSector_5D,0.4412,0.644,0.362,0.4948
inst_42_AttractiveSector_10D,0.3124,0.5144,0.3584,0.4288
inst_42_AttractiveSector_20D,0.2692,0.4536,0.2612,0.2548
inst_42_BuecheRastrigin_5D,0.3952,0.624,0.482,0.3412
inst_42_BuecheRastrigin_10D,0.3136,0.6032,0.2132,0.4588
inst_42_BuecheRastrigin_20D,0.332,0.5512,0.2536,0.35
inst_42_CompositeGR_5D,0.3616,0.452,0.344,0.4276
inst_42_CompositeGR_10D,0.3012,0.5164,0.3092,0.5864
inst_42_CompositeGR_20D,0.222,0.4788,0.1732,0.376
inst_42_DifferentPowers_5D,0.2576,0.61,0.71,0.9864
inst_42_DifferentPowers_10D,0.2812,0.5276,0.5816,0.9084
inst_42_DifferentPowers_20D,0.3476,0.4988,0.228,0.3048
inst_42_LinearSlope_5D,0.3656,0.2044,0.6308,0.88
inst_42_LinearSlope_10D,0.3396,0.6132,0.8624,0.9856
inst_42_LinearSlope_20D,0.3284,0.59,0.1956,0.182
inst_42_SharpRidge_5D,0.31,0.5836,0.3428,0.8128
inst_42_SharpRidge_10D,0.3096,0.5584,0.5236,0.4956
inst_42_SharpRidge_20D,0.248,0.4608,0.1604,0.3112
inst_42_StepEllipsoidal_5D,0.4804,0.678,0.358,0.388
inst_42_StepEllipsoidal_10D,0.3048,0.6748,0.398,0.4384
inst_42_StepEllipsoidal_20D,0.3004,0.5324,0.95,0.986
inst_42_RosenbrockRotated_5D,0.3128,0.4616,0.3812,0.8172
inst_42_RosenbrockRotated_10D,0.2412,0.5004,0.3436,0.932
inst_42_RosenbrockRotated_20D,0.19,0.502,0.822,1.0
inst_42_SchaffersIllConditioned_5D,0.3068,0.4692,0.4088,0.718
inst_42_SchaffersIllConditioned_10D,0.352,0.452,0.7668,0.7732
inst_42_SchaffersIllConditioned_20D,0.3852,0.4924,0.3908,0.3892
inst_42_LunacekBiR_5D,0.3916,0.4936,0.4124,0.594
inst_42_LunacekBiR_10D,0.4016,0.6112,0.3484,0.6096
inst_42_LunacekBiR_20D,0.3496,0.4864,0.1928,0.4192
inst_42_GG101me_5D,0.4152,0.4608,0.4332,0.5384
inst_42_GG101me_10D,0.4268,0.5812,0.3472,0.4364
inst_42_GG101me_20D,0.2792,0.3896,0.2776,0.2424
inst_42_GG21hi_5D,0.49,0.558,0.442,0.5536
inst_42_GG21hi_10D,0.4392,0.5188,0.3968,0.5336
inst_42_GG21hi_20D,0.3384,0.434,0.1896,0.2136
