Function,AUC jDE,Best jDE,AUC iDE,Best iDE
inst_42_BentCigar,0.3392,0.664,0.238,0.716
inst_42_Discus,0.454,0.3056,0.5168,0.652
inst_42_Ellipsoid,0.3244,0.5396,0.338,0.8256
inst_42_Katsuura,0.4592,0.4396,0.4548,0.4624
inst_42_Rastrigin,0.3784,0.552,0.5624,0.6528
inst_42_Rosenbrock,0.1852,0.584,0.2024,0.456
inst_42_Schaffers,0.5068,0.7264,0.814,0.9776
inst_42_Schwefel,0.2704,0.6296,0.298,0.828
inst_42_Sphere,0.1892,0.4644,0.6076,0.9784
inst_42_Weierstrass,0.4204,0.5108,0.5368,0.6636
inst_42_AttractiveSector_5D,0.3688,0.552,0.286,0.3944
inst_42_AttractiveSector_10D,0.3208,0.478,0.3628,0.4064
inst_42_AttractiveSector_20D,0.2364,0.5192,0.2252,0.3068
inst_42_BuecheRastrigin_5D,0.3632,0.5364,0.4008,0.2256
inst_42_BuecheRastrigin_10D,0.3444,0.6084,0.2392,0.4828
inst_42_BuecheRastrigin_20D,0.338,0.6396,0.2708,0.4496
inst_42_CompositeGR_5D,0.3348,0.37,0.3288,0.362
inst_42_CompositeGR_10D,0.2312,0.498,0.2564,0.5724
inst_42_CompositeGR_20D,0.1628,0.498,0.1164,0.3772
inst_42_DifferentPowers_5D,0.274,0.6236,0.7212,0.9868
inst_42_DifferentPowers_10D,0.3284,0.5796,0.6376,0.9172
inst_42_DifferentPowers_20D,0.326,0.6208,0.1792,0.452
inst_42_LinearSlope_5D,0.4288,0.2048,0.678,0.8908
inst_42_LinearSlope_10D,0.3616,0.6616,0.87,0.9976
inst_42_LinearSlope_20D,0.5272,0.7252,0.4344,0.3236
inst_42_SharpRidge_5D,0.2628,0.426,0.3068,0.6792
inst_42_SharpRidge_10D,0.274,0.56,0.4424,0.5
inst_42_SharpRidge_20D,0.3352,0.6548,0.2348,0.4968
inst_42_StepEllipsoidal_5D,0.4248,0.7588,0.3104,0.474
inst_42_StepEllipsoidal_10D,0.2552,0.696,0.3316,0.4652
inst_42_StepEllipsoidal_20D,0.24,0.5824,0.9196,0.9744
inst_42_RosenbrockRotated_5D,0.3236,0.566,0.392,0.878
inst_42_RosenbrockRotated_10D,0.2548,0.5456,0.3464,0.942
inst_42_RosenbrockRotated_20D,0.2396,0.5992,0.81,0.9964
inst_42_SchaffersIllConditioned_5D,0.2604,0.5028,0.3524,0.7572
inst_42_SchaffersIllConditioned_10D,0.3828,0.6052,0.836,0.866
inst_42_SchaffersIllConditioned_20D,0.4104,0.5176,0.412,0.4112
inst_42_LunacekBiR_5D,0.37,0.4608,0.4032,0.5476
inst_42_LunacekBiR_10D,0.3332,0.5472,0.284,0.5316
inst_42_LunacekBiR_20D,0.3216,0.6024,0.166,0.5352
inst_42_GG101me_5D,0.3844,0.58,0.4284,0.6472
inst_42_GG101me_10D,0.272,0.4964,0.2248,0.356
inst_42_GG101me_20D,0.2892,0.4876,0.2736,0.2892
inst_42_GG21hi_5D,0.4444,0.5428,0.3908,0.5448
inst_42_GG21hi_10D,0.3448,0.4628,0.2964,0.4852
inst_42_GG21hi_20D,0.3088,0.5332,0.1684,0.3428
