Function,AUC jDE,Best jDE,AUC iDE,Best iDE
inst_42_BentCigar,0.3224,0.77,0.2136,0.8216
inst_42_Discus,0.4272,0.174,0.4924,0.5172
inst_42_Ellipsoid,0.3156,0.6892,0.3312,0.886
inst_42_Katsuura,0.4936,0.4728,0.4836,0.4924
inst_42_Rastrigin,0.4396,0.5524,0.6708,0.6808
inst_42_Rosenbrock,0.2292,0.686,0.2384,0.5796
inst_42_Schaffers,0.4844,0.6304,0.768,0.9368
inst_42_Schwefel,0.35,0.6172,0.4128,0.8284
inst_42_Sphere,0.2832,0.602,0.6792,0.9868
inst_42_Weierstrass,0.3768,0.2908,0.4848,0.4504
inst_42_AttractiveSector_5D,0.4048,0.6064,0.3336,0.4572
inst_42_AttractiveSector_10D,0.3088,0.5056,0.3408,0.4304
inst_42_AttractiveSector_20D,0.2768,0.59,0.276,0.3916
inst_42_BuecheRastrigin_5D,0.3524,0.5808,0.41,0.3072
inst_42_BuecheRastrigin_10D,0.288,0.5508,0.196,0.4268
inst_42_BuecheRastrigin_20D,0.3288,0.6032,0.2704,0.4036
inst_42_CompositeGR_5D,0.3484,0.4156,0.3448,0.4056
inst_42_CompositeGR_10D,0.24,0.4508,0.2552,0.5348
inst_42_CompositeGR_20D,0.2312,0.4896,0.1744,0.3712
inst_42_DifferentPowers_5D,0.3188,0.6528,0.7252,0.9948
inst_42_DifferentPowers_10D,0.388,0.6636,0.6588,0.934
inst_42_DifferentPowers_20D,0.368,0.6384,0.2164,0.4612
inst_42_LinearSlope_5D,0.464,0.2064,0.7,0.886
inst_42_LinearSlope_10D,0.4248,0.7328,0.8956,0.9988
inst_42_LinearSlope_20D,0.4696,0.7404,0.3788,0.3204
inst_42_SharpRidge_5D,0.3268,0.5472,0.3552,0.784
inst_42_SharpRidge_10D,0.3752,0.7068,0.6052,0.6988
inst_42_SharpRidge_20D,0.3032,0.6464,0.2148,0.486
inst_42_StepEllipsoidal_5D,0.4444,0.7828,0.318,0.5052
inst_42_StepEllipsoidal_10D,0.3448,0.764,0.4576,0.5384
inst_42_StepEllipsoidal_20D,0.3132,0.6452,0.9392,0.9664
inst_42_RosenbrockRotated_5D,0.3428,0.5496,0.3996,0.8784
inst_42_RosenbrockRotated_10D,0.34,0.6296,0.436,0.984
inst_42_RosenbrockRotated_20D,0.2036,0.6664,0.8324,1.0
inst_42_SchaffersIllConditioned_5D,0.2436,0.444,0.3412,0.6904
inst_42_SchaffersIllConditioned_10D,0.332,0.5332,0.7688,0.8236
inst_42_SchaffersIllConditioned_20D,0.4188,0.5864,0.4288,0.4804
inst_42_LunacekBiR_5D,0.352,0.3744,0.3896,0.458
inst_42_LunacekBiR_10D,0.354,0.55,0.2948,0.5448
inst_42_LunacekBiR_20D,0.338,0.584,0.1624,0.5148
inst_42_GG101me_5D,0.418,0.4748,0.4352,0.5516
inst_42_GG101me_10D,0.3012,0.4168,0.242,0.2864
inst_42_GG101me_20D,0.3364,0.5476,0.3248,0.3208
inst_42_GG21hi_5D,0.5492,0.6124,0.5008,0.6204
inst_42_GG21hi_10D,0.3628,0.5224,0.3252,0.5376
inst_42_GG21hi_20D,0.3808,0.6092,0.2372,0.3968
